formOccurrences	form	lemma	HebBinyan	VerbForm	Person	Number	Gender	form_niqqud	lemma_niqqud	lemmaCount
12	דיברו	דיבר	PIEL		3	Plur	Masc	דִּיבְּרוּ	דִּיבֵּר	359
10	השתמשו	השתמש	HITPAEL		3	Plur	Fem,Masc	הִשְׁתַמְּשׁוּ	הִשְׁתַמֵּשׁ	84
12	הכרתי	הכיר	PIEL		1	Sing	Masc	הִכַּרְתִּי	הִכִּיר	141
3	נתקלתי	נתקל	NIFAL		1	Sing	Masc	נִתְקַלְתִּי	נִתְקַל	8
64	מדברים	דיבר	PIEL	Part	1	Plur	Masc	מְדַבְּרִים	דִּיבֵּר	359
19	יצאו	יצא			3	Plur	Fem,Masc	יָצְאוּ	יָצָא	241
9	ללמד	לימד	PIEL	Inf				לְלַמֵּד	לִימֵּד	29
24	שומעים	שמע	PAAL	Part	2	Plur	Masc	שׁוֹמְעִים	שָׁמַע	173
1	אימצתי	אימץ	PIEL		1	Sing	Masc	אִימַּצְתִּי	אִימָּץ	1
8	הבנתי	הבין	HIFIL		1	Sing	Masc	הֵבַנְתִּי	הֵבִין	159
24	אמרו	אמר	PAAL		3	Plur	Masc	אָמְרוּ	אָמַר	997
1	קלטתי	קלט	PAAL		1	Sing	Masc	קָלַטְתִּי	קֶלֶט	11
69	בא	בא	PAAL		3	Sing	Masc	בָּא	בָּא	264
32	עברו	עבר			3	Plur	Fem,Masc	עָבְרוּ	עָבַר	261
40	עבר	עבר			3	Sing	Masc	עָבַר	עָבַר	261
8	נולדה	נולד	NIFAL		3	Sing	Fem	נוֹלְדָה	נוֹלַד	29
6	עברתי	עבר	PAAL		1	Sing	Masc	עָבַרְתִּי	עָבַר	261
3	הפסקתי	הפסיק	HIFIL		1	Sing	Masc	הִפְסַקְתִּי	הִפְסִיק	42
2	שוכחתי	שכח	PAAL		1	Sing	Masc	שׁוֹכַחְתִּי	שָׁכַח	17
10	שחי	שחי	PAAL		3	Sing	Masc	שֶׁחַי	שֶׁחַי	10
1	נסבה	נסב	NIFAL		3	Sing	Fem	נְסִבָּה	נָסָב	1
62	אמר	אמר	PAAL		3	Sing	Masc	אָמַר	אָמַר	997
1	דעתך	דעתך	PAAL		2	Sing	Fem	דַּעְתְּךָ	דַּעְתְּךָ	1
320	לעשות	עשה	PAAL	Inf				לַעֲשׂוֹת	עָשָׂה	760
44	התחילו	התחיל	HIFIL		3	Plur	Masc	הִתְחִילוּ	הִתְחִיל	351
11	להעלות	העלה	HIFIL	Inf				לְהַעֲלוֹת	הֶעֱלָה	27
23	גר	גר	PAAL	Part	2	Sing	Masc	גָּר	גָּר	91
232	רוצה	רצה	PAAL	Part	1	Sing	Masc	רוֹצֶה	רָצָה	467
1140	יש	יש						יֵשׁ	יֵשׁ	1153
9	שאין	שאין						שֶׁאֵין	שֶׁאֵין	9
1	ילמד	למד	PAAL		3	Sing	Masc	יִלְמַד	לָמַד	143
4	מלמדים	לימד	PIEL	Part	3	Plur	Masc	מְלַמְדִים	לִימֵּד	29
97	היה	היה	PAAL		3	Sing	Masc	הָיָה	הָיָה	350
53	לומר	אמר	PAAL	Inf				לוֹמַר	אָמַר	997
1	שיכרתי	שיכר	PAAL		1	Sing	Masc	שִׁיכַּרְתִּי	שִׁיכָּר	1
35	אמרתי	אמר	PAAL		1	Sing	Masc	אָמַרְתִּי	אָמַר	997
1	אבדוק	בדק	HIFIL		1	Sing	Masc	אֶבְדּוֹק	בָּדַק	52
6	חזרתי	חזר	PAAL		1	Sing	Masc	חָזַרְתִּי	חָזַר	175
14	אעשה	עשה	PAAL		1	Sing	Masc	אֶעֱשֶׂה	עָשָׂה	760
39	עשו	עשה	PAAL		3	Plur	Masc	עָשׂוּ	עָשָׂה	760
12	עזר	עזר	PAAL		3	Sing	Masc	עֵזֶר	עֵזֶר	160
1	יעבוד	עבד	PAAL		3	Sing	Masc	יַעֲבוֹד	עָבַד	226
17	עלו	עלה	PAAL		3	Plur	Masc	עָלוּ	עָלָה	147
2	דוברים	דובר	PAAL	Part	3	Plur	Masc	דּוֹבְרִים	דּוֹבֵּר	49
1	לצטט	ציטט	PIEL	Inf				לְצַטֵּט	צִּיטֵּט	1
38	לקרוא	קרא	PAAL	Inf				לִקְרוֹא	קָרָא	113
1	שרוצה	שרץ	PAAL	Part	3	Sing	Masc	שֶׁרוֹצֶה	שֶׁרֶץ	18
52	לשמוע	שמע	PAAL	Inf				לִשְׁמוֹעַ	שָׁמַע	173
23	מעניין	עניין	PIEL	Part	1,2,3	Sing	Masc	מְעַנְיֵין	עִנְיָין	31
45	עוזר	עזר	PAAL	Part	3	Sing	Masc	עוֹזֵר	עֵזֶר	160
1	לכם	לכם	PAAL		2	Plur		לָכֶם	לָכֶם	1
76	הולך	הלך	PAAL	Part	3	Sing	Masc	הוֹלֵךְ	הָלַךְ	266
67	נדבר	נדבר	HIFIL		1	Plur	Masc	נְדַבֵּר	נְדַבֵּר	67
5	נספר	נספר	NIFAL		1	Plur	Masc	נְסַפֵּר	נְסַפֵּר	6
1	נסוכח	סוכח	NIFAL		3	Sing	Masc	נְסוּכַּח	סוֹכֵחַ	1
4	נעסוק	עסק	NIFAL		1	Plur	Masc	נֶעֱסוֹק	עֵסֶק	36
1	נושאים	נשא	PAAL	Part	1,2,3	Plur	Masc	נוֹשְׂאִים	נָשָׂא	3
48	רואים	ראה	PAAL	Part	3	Plur	Masc	רוֹאִים	רָאָה	268
1	יכיל	הכיל	HIFIL		3	Sing	Masc	יָכִיל	הֵכִיל	6
24	להעביר	העביר	HIFIL	Inf				לְהַעֲבִיר	הֶעֱבִיר	40
2	מחייבת	חייב	PIEL	Part	1,2,3	Sing	Fem	מְחַיֶּיבֶת	חַיָּיב	5
4	להזין	הזין	HIFIL	Inf				לְהָזִין	הֵזִין	4
2	תרצו	רצה	HIFIL		1	Plur	Masc	תִּרְצוּ	רָצָה	467
2	שוטפים	שוטף	PAAL	Part	3	Plur	Masc	שׁוֹטְפִים	שׁוֹטֵף	2
133	עושים	עשה	PAAL	Part	3	Plur	Masc	עוֹשִׂים	עָשָׂה	760
28	יוצאים	יצא	PAAL	Part	3	Plur	Masc	יוֹצְאִים	יָצָא	241
1	תרגישו	הרגיש	HIFIL		3	Plur	Masc	תַּרְגִּישׁוּ	הִרְגִּישׁ	148
19	לומדים	למד	PAAL	Part	1	Plur	Masc	לוֹמְדִים	לָמַד	143
1	תהנו	הנה	HITPAEL		3	Plur	Masc	תֵּהָנוּ	הִנֵּה	9
14	עלה	עלה	PAAL		3	Sing	Masc	עָלָה	עָלָה	147
1	יענן	נענן	HIFIL		3	Sing	Masc	יַעֲנָן	נַעֲנָן	1
2	יגרום	גרם	HIFIL		3	Sing	Masc	יִגְרוֹם	גָּרַם	107
16	להקשיב	הקשיב	HIFIL	Inf				לְהַקְשִׁיב	הִקְשִׁיב	50
1	תשפרו	שיפר	PAAL		3	Plur	Masc	תִּשְׁפְּרוּ	שִׁיפָּר	15
1	להבטיח	הבטיח	HIFIL	Inf				לְהַבְּטִיחַ	הִבְטִיחַ	18
8	יעלה	עלה	PAAL		3	Sing	Masc	יַעֲלֶה	עָלָה	147
4	מפחד	פחד	PIEL	Part	1	Sing	Masc	מְפַחֵד	פַּחַד	16
1	להתחיב	התחיב	HITPAEL	Inf				לְהַתְחִיב	הִתְחִיב	1
14	מציע	הציע	HIFIL	Part	2	Sing	Masc	מַצִּיעַ	הִצִּיעַ	33
51	להיכנס	נכנס	NIFAL	Inf				לְהִיכָּנֵס	נִכְנַס	148
18	כותבים	כתב	PAAL	Part	3	Plur	Masc	כּוֹתְבִים	כָּתַב	69
88	לקבל	קיבל	PIEL	Inf				לְקַבֵּל	קִיבֵּל	245
39	קשורים	קשר	PAAL	Part	3	Plur	Masc	קְשׁוּרִים	קֶשֶׁר	92
4	נאמר	נאמר	NIFAL		1	Sing	Masc	נֶאֱמַר	נֶאֱמַר	6
22	תדאגו	דדאג	HIFIL		1	Plur	Masc	תִּדְאֲגוּ	דִּדְאַג	22
36	ליצור	יצר	PAAL	Inf				לִיצוֹר	יָצַר	53
26	משנה	שינה	PIEL	Part	1,2,3	Sing	Masc	מְשְַׁנֶה	שֵׁינָה	70
21	גרים	גר	PAAL	Part	2	Plur	Masc	גָּרִים	גָּר	91
96	לעבוד	עבד	PAAL	Inf				לַעֲבוֹד	עָבַד	226
1	יתרומם	תרמם	PAAL		3	Sing	Masc	יִתְרוֹמֵם	תִּרְמֵם	1
1	יקרום	קרם	PAAL		3	Sing	Masc	יִקְרוּם	קְרֵם	1
3	מתכנן	תכנן	PIEL	Part	2	Sing	Masc	מְתַכְנֵן	תִּכְנֵן	13
58	בואו	בא	PAAL		2	Plur		בּוֹאוּ	בָּא	264
2	נרתום	נרתום	PAAL		1	Plur	Masc	נִרְתּוֹם	נִרְתּוֹם	2
9	נגיע	הגיע	HIFIL		1	Plur	Masc	נַגִּיעַ	הִגִּיעַ	464
2	נחצה	נחצה	PAAL	Part	1	Plur	Masc	נֶחֱצָה	נֶחֱצָה	2
15	להכיר	הכיר	HIFIL	Inf				לְהַכִּיר	הִכִּיר	141
62	להבין	הבין	HIFIL	Inf				לְהָבִין	הֵבִין	159
6	מתם	מתם	PAAL		1	Plur	Masc	מַתָּם	מַתָּם	6
2	לגשר	גישר	PIEL	Inf				לְגֶּשֶׁר	גִּישֵּׁר	2
24	מזכיר	הזכיר	HIFIL	Part	1	Sing	Masc	מַזְכִּיר	הִזְכִּיר	55
5	להתאמן	התאמן	HITPAEL	Inf				לְהִתְאַמֵּן	הִתְאַמֵּן	9
5	לפתור	פתר	PAAL	Inf				לִפְתּוֹר	פֶּתֶר	7
28	לעמוד	עמד	PAAL	Inf				לַעֲמוֹד	עָמַד	86
5	ללחוץ	לחץ	PAAL	Inf				לִלְחוֹץ	לַחַץ	7
1	מצורף	צורף	PUAL	Part	3	Sing	Masc	מְצוֹרָף	צוֹרֵף	1
14	תהיה	היה			3	Sing	Fem	תִּהְיֶה	הָיָה	350
40	נתראה	התראה	NIFAL		1	Plur	Masc	נִתְרָאֶה	הַתְּרָאָה	46
21	באים	בא	PAAL	Part	3	Plur	Masc	בָּאִים	בָּא	264
58	לפרק	פירק	PIEL	Inf				לְפֶּרֶק	פֵּיְרְק	61
10	גדל	גדל	PAAL	Part	3	Sing	Masc	גָּדֵל	גָּדֵל	40
3	מעורר	עורר	PIEL	Part	3	Sing	Masc	מְעוֹרֵר	עוֹרֵר	9
1	כונתי	כנת	PAAL		3	Sing	Masc	כַּוּנָּתִי	כַּנָּת	1
266	אפשר	אפשר						אֶפְשָׁר	אֶפְשָׁר	271
102	להגיע	הגיע	HIFIL	Inf				לְהַגִּיעַ	הִגִּיעַ	464
5	נוסעים	נסע	PAAL	Part	3	Plur	Masc	נוֹסְעִים	נָסַע	41
54	מרגישים	הרגיש	HIFIL	Part	3	Plur	Masc	מַרְגִּישִׁים	הִרְגִּישׁ	148
27	שואלים	שאל	PAAL	Part	2	Plur	Masc	שׁוֹאֲלִים	שָׁאַל	111
7	מספרים	מספר	PIEL	Part	3	Plur	Masc	מִסְפָּרִים	מִסְפָּר	7
5	מגיש	הגיש	PIEL	Part	1,2,3	Sing	Masc	מַגִּישׁ	הִגִּישׁ	22
72	יצא	יצא	PAAL		3	Sing	Masc	יָצָא	יָצָא	241
11	קונים	קנה	PAAL	Part	3	Plur	Masc	קוֹנִים	קָּנָה	98
1	מביטים	הביט	PAAL	Part	3	Plur	Masc	מַבִּיטִים	הִבִּיט	2
14	מנסים	ניסה	PIEL	Part	1	Plur	Masc	מְנַסִּים	נִיסָּה	85
3	להתרומם	התרומם	HITPAEL	Inf				לְהִתְרוֹמֵם	הִתְרוֹמֵם	3
2	להציץ	הציץ	HITPAEL	Inf				לְהָצִיץ	הֵצִיץ	3
1	עלד	עלד	PAAL		3	Sing	Masc	עֶלֶד	עֶלֶד	1
4	נזכרים	נזכר	NIFAL	Part	3	Plur	Masc	נִזְכָּרִים	נִזְכַּר	9
92	היו	היה	PAAL		3	Plur	Fem,Masc	הָיוּ	הָיָה	350
31	חוזרים	חזר	PAAL	Part	3	Plur	Masc	חוֹזְרִים	חָזַר	175
5	עוצרים	עצר	PAAL	Part	3	Plur	Masc	עוֹצְרִים	עָצַר	29
44	לאכול	אכל	PAAL	Inf				לֶאֱכוֹל	אָכַל	97
26	לבקש	ביקש	PIEL	Inf				לְבַקֵּשׁ	בִּיקֵּשׁ	78
17	נכנסים	נכנס	NIFAL	Part	3	Plur	Masc	נִכְנָסִים	נִכְנַס	148
3	להעריך	העריך	HIFIL	Inf				לְהַעֲרִיךְ	הֶעֱרִיךְ	7
18	להרגיש	הרגיש	HIFIL	Inf				לְהַרְגִּישׁ	הִרְגִּישׁ	148
13	חוזר	חזר	PAAL	Part	3	Sing	Masc	חוֹזֵר	חָזַר	175
9	גדלתי	גדל	PAAL		1	Sing	Masc	גָּדַלְתִּי	גָּדֵל	40
2	אכלתי	אכל	PAAL		1	Sing	Masc	אָכַלְתִּי	אָכַל	97
11	מכינים	הכין	HIFIL	Part	3	Plur	Masc	מְכִינִים	הֵכִין	59
4	ידענו	ידע	PAAL		1	Plur	Masc	יָדַעְנוּ	יֶדַע	335
15	לחכות	חיכה	PIEL	Inf				לְחַכּוֹת	חִיכָּה	27
5	הוציאו	הוציא	HIFIL		3	Plur	Masc	הוֹצִיאוּ	הוֹצִיא	62
2	הגישו	הגיש	HIFIL		3	Plur	Masc	הִגִּישׁוּ	הִגִּישׁ	22
2	זכור	זכר	PAAL	Part	3	Sing	Masc	זָּכוּר	זֵכֶר	66
1	רחבנו	רחב	PAAL		1	Plur	Masc	רְחַבְנוּ	רָחָב	1
1	רצנו	רץ	PAAL		1	Plur	Masc	רַצְנוּ	רָץ	10
13	שמע	שמע	PAAL		3	Sing	Masc	שָׁמַע	שָׁמַע	173
29	זוכר	זכר	PAAL	Part	1	Sing	Masc	זוֹכֵר	זֵכֶר	66
4	הכינו	הכין	HIFIL		3	Plur	Masc	הֵכִינוּ	הֵכִין	59
31	אוכלים	אכל	PAAL	Part	3	Plur	Masc	אוֹכְלִים	אָכַל	97
12	הכירו	הכיר	HIFIL		3	Plur	Masc	הִכִּירוּ	הִכִּיר	141
15	הבנו	הבנה	HIFIL		1	Plur	Masc	הֵבַנּוּ	הֲבָנָה	15
61	עובד	עובד	PAAL	Part	1	Sing	Masc	עוֹבֵּד	עוֹבֵּד	61
4	גדלנו	גדל	PAAL		1	Plur	Masc	גָּדַלְנוּ	גָּדֵל	40
8	התחלנו	התחיל	HIFIL		1	Plur	Masc	הִתְחַלְנוּ	הִתְחִיל	351
8	תבינו	הבין	PAAL		1	Plur	Masc	תָּבִינוּ	הֵבִין	159
6	לסיים	סיים	PIEL	Inf				לְסַיֵּים	סִּייֵּם	69
30	להכין	הכין	HIFIL	Inf				לְהָכִין	הֵכִין	59
20	עבד	עבד	PAAL		3	Sing	Masc	עָבַד	עָבַד	226
4	להספיק	הספיק	HIFIL	Inf				לְהַסְפִּיק	הִסְפִּיק	21
9	לבשל	בישל	PAAL	Inf				לְבַשֵּׁל	בִּישֵּׁל	18
14	לדאוג	דאג	PAAL	Inf				לִדְאוֹג	דָּאַג	41
10	שימו	שימה	PAAL		2	Plur	Masc	שִִׂימוּ	שִִׂימָה	10
34	נכנס	נכנס	NIFAL	Part	3	Sing	Masc	נִכְנַס	נִכְנַס	148
8	שומרים	שמר	PAAL	Part	3	Plur	Masc	שׁוֹמְרִים	שָׁמַר	52
43	יוצא	יצא	PAAL	Part	1,2,3	Sing	Masc	יוֹצֵא	יָצָא	241
65	מגיע	הגיע	HIFIL	Part	2	Sing	Masc	מַגִּיעַ	הִגִּיעַ	464
1	נפתחות	נפתח	NIFAL	Part	3	Plur	Fem	נִפְתָּחוֹת	נִפְתַּחַ	17
5	זוכה	זכה	PAAL	Part	3	Sing	Masc	זוֹכֶה	זָּכָה	38
3	חיכה	חיכה	PAAL		3	Sing	Masc	חִיכָּה	חִיכָּה	27
68	מגיעים	הגיע	HIFIL	Part	3	Plur	Masc	מַגִּיעִים	הִגִּיעַ	464
155	צריך	צריך				Sing	Masc	צָּרִיךְ	צָּרִיךְ	157
30	לשים	שם	PAAL	Inf				לָשִׂים	שָׁם	79
2	מפספס	פספס	PIEL	Part	1,2,3	Sing	Masc	מְפַסְפֵּס	פַּסְפָּס	6
36	עולה	עלה	PAAL	Part	3	Sing	Fem	עוֹלֶה	עָלָה	147
70	יהיה	היה			3	Sing	Masc	יִהְיֶה	הָיָה	350
5	באתי	בא	PAAL		1	Sing	Masc	בָּאתִי	בָּא	264
1	לחייל	חייל	PAAL	Inf				לְחַיָּיל	חַיָּיל	1
8	ביקשתי	ביקש	PIEL		1	Sing	Masc	בִּיקַּשְׁתִּי	בִּיקֵּשׁ	78
2	דפק	דפק	PAAL		3	Sing	Masc	דָּפַק	דָּפַק	5
6	הסתכל	הסתכל	HITPAEL		3	Sing	Masc	הִסְתַּכֵּל	הִסְתַּכֵּל	61
12	שמים	שם	PAAL	Part	3	Plur	Masc	שָׁמַיִם	שָׁם	79
17	אלתי	אלת	PAAL		1	Sing	Masc	אַלְתִּי	אֵלַת	17
2	הסביר	הסביר	HIFIL		3	Sing	Masc	הִסְבִּיר	הִסְבִּיר	51
3	להוסיף	הוסיף	HIFIL	Inf				לְהוֹסִיף	הוֹסִיף	23
19	מבין	הבין	HIFIL	Part	2	Sing	Masc	מֵבִין	הֵבִין	159
6	שלח	שלח			3	Sing	Masc	שָׁלַח	שָׁלַח	47
9	סיפרתי	סיפר	PIEL		1	Sing	Masc	סִּיפַּרְתִּי	סִּיפֵּר	121
78	הגיע	הגיע	HIFIL		3	Sing	Masc	הִגִּיעַ	הִגִּיעַ	464
126	יודע	ידע	PAAL	Part	2	Sing	Masc	יוֹדֵעַ	יֶדַע	335
77	אומרים	אמר	PAAL	Part	1	Plur	Masc	אוֹמְרִים	אָמַר	997
3	לבשר	בישר	PAAL	Inf				לְבָשָׂר	בִּישֵּׂר	3
11	הוציא	הוציא	HIFIL		3	Sing	Masc	הוֹצִיא	הוֹצִיא	62
2	עשים	עשה	PAAL	Part	3	Plur	Masc	עָשִׁים	עָשָׂה	760
3	טוען	טען	PAAL	Part	1,2,3	Sing	Masc	טוֹעֵן	טָעַן	9
1	התאגנו	התאגן	HIFIL		3	Plur	Masc	הִתְאַגְּנוּ	הִתְאַגֵּן	1
19	מתאים	התאים	HIFIL	Part	3	Sing	Masc	מַתְאִים	הִתְאִים	34
9	נולד	נולד	NIFAL		3	Sing	Masc	נוֹלַד	נוֹלַד	29
2	טוענים	טען	PAAL	Part	3	Plur	Masc	טוֹעֲנִים	טָעַן	9
2	מבוססות	מבוססות	HITPAEL	Part	3	Plur	Fem	מְבוּסָּסוֹת	מְבוּסָּסוֹת	2
7	יגיעו	הגיע	HIFIL		3	Plur	Fem,Masc	יַגִּיעוּ	הִגִּיעַ	464
23	להסביר	הסביר	HIFIL	Inf				לְהַסְבִּיר	הִסְבִּיר	51
11	נוצר	נוצר	NIFAL		3	Sing	Masc	נוֹצַר	נוֹצַר	17
1	כבשו	כבש	PAAL		3	Plur	Masc	כָּבְשׁוּ	כֶּבֶשׂ	2
4	החל	החל	HIFIL		3	Sing	Masc	הֵחֵל	הֵחֵל	14
1	מוזכרת	הוזכר	PUAL	Part	3	Sing	Fem	מוּזְכֶּרֶת	הוּזְכַּר	3
12	לנחש	ניחש	PIEL	Inf				לְנַחֵשׁ	נִיחֵשׁ	22
16	מתכוון	התכוון	HITPAEL	Part	1	Sing	Masc	מִתְכַוֵּון	הִתְכַוֵּון	26
17	להכניס	הכניס	HIFIL	Inf				לְהַכְּנִיס	הִכְּנִיס	40
19	הפכה	הפך	PAAL		3	Sing	Fem	הָפְכָה	הָפַךְ	96
14	לייצר	ייצר	PIEL	Inf				לְיַיצֵּר	יִיצֵּר	33
2	לשלוט	שלט	PAAL	Inf				לִשְׁלוֹט	שֶׁלֶט	9
73	נקרא	נקרא	NIFAL	Part	3	Sing	Masc	נִקְרָא	נִקְרָא	101
49	הגיעו	הגיע	HIFIL		3	Plur	Masc	הִגִּיעוּ	הִגִּיעַ	464
2	חסרים	חסר	PAAL	Part	3	Plur	Masc	חֲסֵרִים	חָסֵר	5
16	לגרום	גרם	PAAL	Inf				לִגְרוֹם	גָּרַם	107
7	פרסם	פרסם	PIEL		3	Sing	Masc	פִּרְסֵם	פִּרְסֵם	25
9	הפסיקו	הפסיק	HIFIL		3	Plur	Masc	הִפְסִיקוּ	הִפְסִיק	42
1	עשוי	עשה	PUAL	Part	3	Sing	Masc	עָשׂוּי	עָשָׂה	760
10	הצלחתי	הצליח	HIFIL		1	Sing	Masc	הִצְלַחְתִּי	הִצְלִיחַ	128
64	למצוא	מצא	PAAL	Inf				לִמְצוֹא	מָצָא	125
5	פועלים	פעל	PAAL	Part	3	Plur	Masc	פּוֹעֲלִים	פָּעַל	29
19	החלטתי	החליט	HIFIL		1	Sing	Masc	הֶחְלַטְתִּי	הֶחֱלִיט	164
22	לבדוק	בדק	PAAL	Inf				לִבְדּוֹק	בָּדַק	52
28	עשיתי	עשה	PAAL		1	Sing	Masc	עָשִׂיתִי	עָשָׂה	760
2	מפס	מפס	PIEL		3	Sing	Masc	מַפָּס	מַפָּס	2
5	מופיעים	הופיע	HITPAEL	Part	3	Plur	Masc	מוֹפִיעִים	הוֹפִּיעַ	26
5	מוכרים	מכר	PAAL	Part	2	Plur	Masc	מוּכָּרִים	מַכָּר	43
1	נכשל	נכשל	NIFAL		3	Sing	Masc	נִכְשָׁל	נִכְשָׁל	2
135	להגיד	הגיד	HIFIL	Inf				לְהַגִּיד	הִגִּיד	234
1	מייצגת	ייצג	PIEL	Part	1,2,3	Sing	Fem	מְיַיצֶּגֶת	יִיצֵּג	5
1	נדרשת	נדרש	NIFAL	Part	3	Sing	Fem	נִדְרֶשֶׁת	נִדְרָשׁ	2
29	מרגיש	הרגיש	HIFIL	Part	1,2,3	Sing	Masc	מַרְגִּישׁ	הִרְגִּישׁ	148
5	מאמינים	האמין	HIFIL	Part	3	Plur	Masc	מַאֲמִינִים	הֶאֱמִין	26
1	בדקו	בדק	PAAL		1	Plur	Masc	בָּדְקוֹ	בָּדַק	52
29	אשמח	שמח	PAAL		1	Sing	Masc	אֶשְׂמַח	שָׂמֵחַ	52
10	לגלות	לגלות	PIEL	Inf				לְגַלּוֹת	לְגַלּוֹת	10
5	תופס	תפס	PAAL	Part	3	Sing	Masc	תּוֹפֵּס	תָּפַס	17
1	עובים	עבה	PAAL	Part	1	Plur	Masc	עוֹבִים	עָבֶה	1
11	יגיד	הגיד	HIFIL		3	Sing	Masc	יַגִּיד	הִגִּיד	234
10	שמעת	שמע	PAAL		1	Sing	Masc	שָׁמַעְתָּ	שָׁמַע	173
2	מפה	מפה	PAAL		3	Sing	Fem	מִפֹּה	מִפֹּה	2
23	עולים	עלה	PAAL	Part	3	Plur	Masc	עוֹלִים	עָלָה	147
48	התחיל	התחיל	HITPAEL		3	Sing	Masc	הִתְחִיל	הִתְחִיל	351
6	מנהל	ניהל	PIEL	Part	1,2,3	Sing	Masc	מְנַהֵל	נִיהֵל	24
1	עצבן	עצבן	PAAL		1	Sing	Masc	עַצְבָּן	עַצְבָּן	2
2	מאשר	מאשר	PAAL	Part	3	Sing	Masc	מְאַשֵּׁר	מְאַשֵּׁר	2
2	כתבתי	כתב	PAAL		1	Sing	Masc	כָּתַבְתִּי	כָּתַב	69
7	להצטרף	הצטרף	HITPAEL	Inf				לְהִצְטָרֵף	הִצְטָרֵף	26
76	מקווה	קיווה	PIEL	Part	1	Sing	Masc	מְקַוֶּוה	קִיוָוה	78
2	ישתפרו	השתפר	HITPAEL		3	Plur	Fem,Masc	יִשְׁתַפְּרוּ	הִשְׁתַפֵּר	10
19	אגיד	הגיד	HIFIL		1	Sing	Masc	אַגִּיד	הִגִּיד	234
93	חושב	חשב	PAAL	Part	1	Sing	Masc	חוֹשֵׁב	חָשַׁב	318
6	עברנו	עבר	PAAL		1	Plur	Masc	עָבַרְנוּ	עָבַר	261
1	נזכר	נזכר	NIFAL	Part	1	Sing	Masc	נִזְכַּר	נִזְכַּר	9
10	קונה	קנה	PAAL	Part	1,2,3	Sing	Masc	קוֹנֶה	קָּנָה	98
1	נהל	נהל	PAAL		3	Sing	Masc	נָהַל	נָהַל	1
4	עניין	עניין	PAAL	Part	3	Sing	Masc	עִנְיָין	עִנְיָין	31
3	תקשיב	הקשיב	PAAL		2	Sing	Masc	תַּקְשִׁיב	הִקְשִׁיב	50
