formOccurrences	form	lemma	Gender	Number	form_niqqud	lemma_niqqud	lemmaCount
4	פיצות	פיצות	Fem	Plur	פִּיצוֹת	פִּיצוֹת	4
4	מבורגר	מבורגר	Masc	Sing	מַבּוּרְגֶּר	מַבּוּרְגֶּר	8
52	ימים	יום	Masc	Plur	יָמִים	יוֹם	402
27	אמצע	אמצע	Masc	Sing	אֶמְצַע	אֶמְצַע	30
3	סועדים	סעד	Masc	Plur	סוֹעֲדִים	סַעַד	4
10	תור	תור	Masc	Sing	תּוֹר	תּוֹר	12
1	אהובים	אהוב	Masc	Plur	אֲהוּבִים	אָהוּב	1
1	עוצר	עוצר	Masc	Sing	עוֹצֵר	עוֹצֵר	1
5	תחנה	תחנה	Fem	Sing	תַּחֲנָה	תַּחֲנָה	19
28	עולים	עולה	Masc	Plur	עוֹלִים	עוֹלֶה	31
4	אופניים	אופניים	Masc	Plur	אוֹפַּנַּיִים	אוֹפַּנַּיִים	4
4	מבורגרים	מבורגר	Masc	Plur	מַבּוּרְגְּרִים	מַבּוּרְגֶּר	8
20	שולחן	שולחן	Masc	Sing	שּׁוּלְחָן	שּׁוּלְחָן	20
12	צלחת	צלחת	Fem	Sing	צַּלַחַת	צַּלַחַת	13
14	נהג	נהג	Masc	Sing	נַהָג	נַהָג	27
4	התלהבות	התלהבות	Fem	Sing	הִתְלַהֲבוּת	הִתְלַהֲבוּת	4
5	מדרגות	מדרגה	Fem	Plur	מַדְרֵגוֹת	מַדְרֵגָה	7
5	צ'יפס	צ'יפס	Masc	Sing	צִ'יפְּס	צִ'יפְּס	5
269	מקום	מקום	Masc	Sing	מָקוֹם	מָקוֹם	370
12	כמויות	כמות	Fem	Plur	כַּמוּיוֹת	כַּמוּת	54
13	אכול	אכול	Masc	Sing	אָכוֹל	אָכוֹל	13
96	חוץ	חוץ	Masc	Sing	חוּץ	חוּץ	96
62	בעיות	בעיה	Fem	Plur	בְּעָיוֹת	בְּעָיָה	143
54	קיבוצים	קיבוץ	Masc	Plur	קִיבּוּצִים	קִיבּוּץ	226
20	מטבח	מטבח	Masc	Sing	מִטְבָּח	מִטְבָּח	20
1	משעות	משעה	Fem	Plur	מִשָּׁעוֹת	מִשָּׁעָה	1
63	בוקר	בוקר	Masc	Sing	בּוֹקֶר	בּוֹקֶר	63
22	צהריים	צהריים	Masc	Plur	צָּהֳרַיִים	צָּהֳרַיִים	22
6	עובדי	עובד	Masc	Plur	עוֹבְדֵי	עוֹבֵּד	46
20	ארוחת	ארוחה	Fem	Sing	אֲרוּחַת	אֲרוּחָה	35
49	ערב	ערב	Masc	Sing	עֶרֶב	עֶרֶב	49
6	ניקיונות	ניקיון	Fem	Plur	נִיקְיוֹנוֹת	נִיקְיוֹן	13
92	סיבה	סיבה	Fem	Sing	סִּיבָּה	סִּיבָּה	121
7	מקרר	קירר	Masc	Sing	מְקָרֵר	קֵּיְרֵר	7
10	תנור	תנור	Masc	Sing	תַּנּוּר	תַּנּוּר	13
3	חימום	חימום	Masc	Sing	חִימּוּם	חִימּוּם	3
4	סוגי	סוג	Masc	Plur	סוּגִי	סוּג	83
2	פיצה	פיצה	Fem	Sing	פִּיצָה	פִּיצָה	2
80	בעיה	בעיה	Fem	Sing	בְּעָיָה	בְּעָיָה	143
5	איום	איום	Masc	Sing	אִיּוּם	אִיּוּם	9
6	דלתות	דלת	Fem	Plur	דְּלָתוֹת	דֶּלֶת	22
1	מחומ	מחום	Masc	Sing	מָחוֹמ	מֵחוֹם	2
1	תבנית	תבנית	Fem	Sing	תַּבְנִית	תַּבְנִית	1
3	כדורי	כדור	Masc	Plur	כַּדּוּרִי	כַּדוּר	25
3	עגלת	עגלה	Fem	Sing	עֲגֶלֶת	עֲגָלָה	6
1	צרבת	צרבה	Fem	Sing	צָּרֶבֶת	צָּרְבָה	1
1	גרון	גרון	Masc	Sing	גָּרוֹן	גָּרוֹן	1
2	מגש	מגש	Masc	Sing	מַגָּשׁ	מַגָּשׁ	2
6	כוסות	כוס	Fem	Plur	כּוֹסוֹת	כּוֹס	6
83	מים	מים	Masc	Plur	מַיִם	מַיִם	86
60	אמת	אמת	Fem	Sing	אֱמֶת	אֱמֶת	60
124	צבא	צבא	Masc	Sing	צָּבָא	צָּבָא	124
6	תחנת	תחנה	Fem	Sing	תַּחֲנַת	תַּחֲנָה	19
4	הרכבת	הרכבה	Fem	Sing	הָרַכֶּבֶת	הַרְכָּבָה	4
1	דוכ	דוך	Masc	Sing	דּוּכ	דּוֹךְ	1
9	חומוס	חומוס	Masc	Sing	חוּמוּס	חוּמוּס	9
10	פרצוף	פרצוף	Masc	Sing	פַּרְצוּף	פַּרְצוּף	10
21	פנים	פנים	Fem	Plur	פָּנִים	פָּנִים	27
80	כולם	כולם	Masc	Plur	כּוּלָּם	כּוּלָּם	80
32	עם	עם	Masc	Sing	עִם	עִם	33
1	שאת	שאת	Fem	Sing	שֶׁאַתְ	שֶׁאַתְ	1
1	גרגרי	גרגר	Masc	Plur	גַּרְגְּרִי	גַּרְגֶּר	1
1	נזוף	נזוף	Masc	Sing	נָּזוּף	נָּזוּף	1
3	רכבת	רכבת	Fem	Sing	רַכֶּבֶת	רַכֶּבֶת	3
1	קדמה	קדמה	Fem	Sing	קִדְמָה	קִדְמָה	3
150	חלק	חלק	Masc	Sing	חֵלֶק	חֵלֶק	166
4	פלפל	פלפל	Masc	Sing	פִּלְפֵּל	פִּלְפֵּל	4
1	קופטים	קופטי	Masc	Plur	קוֹפְטִים	קוֹפְּטִי	1
1	מפול	מפול	Masc	Sing	מַפּוֹל	מַפּוֹל	1
1	כלוף	כלוף	Masc	Sing	כְּלוּף	כְּלוּף	1
1	תחליף	תחליף	Masc	Sing	תַּחֲלִיף	תַּחֲלִיף	3
194	שנה	שנה	Fem	Sing	שָׁנָה	שָׁנָה	504
2	בלבול	בלבול	Masc	Sing	בִּלְבּוּל	בִּלְבּוּל	2
2	טיעוד	טיעוד	Masc	Sing	טִיעוּד	טִיעוּד	2
7	מאכל	מאכל	Masc	Sing	מַאֲכָל	מַאֲכָל	23
1	היסטוריון	היסטוריון	Masc	Sing	הִיסְטוֹרְיוֹן	הִיסְטוֹרְיוֹן	1
9	פרופסור	פרופסור	Masc	Sing	פְּרוֹפֶסוֹר	פְּרוֹפֶסוֹר	10
16	אוניברסיטה	אוניברסיטה	Fem	Sing	אוּנִיבֶרְסִיטָה	אוּנִיבֶרְסִיטָה	24
35	אינפ	אינף	Masc	Sing	אִינְפ	אִינְּף	35
1	טמפר	טמפר	Masc	Sing	טֶמְפֶּר	טֶמְפֶּר	1
9	ראיות	ראיה	Fem	Plur	רְאָיוֹת	רְאָיָה	11
3	תיגון	תיגון	Masc	Sing	תִּיגּוּן	תִּיגּוּן	3
1	הופעת	הופעה	Fem	Sing	הוֹפָעַת	הוֹפָּעָה	31
2	שיטות	שיטה	Fem	Plur	שִׁיטוֹת	שִׁיטָה	14
2	מודרניות	מודרניות	Fem	Sing	מוֹדֶרְנִיּוּת	מוֹדֶרְנִיּוּת	2
4	הפקת	הפקה	Fem	Sing	הֲפָקַת	הֲפָקָה	7
2	שמנים	שמן	Masc	Plur	שְׁמֵנִים	שֶׁמֶן	13
14	תקופת	תקופה	Fem	Sing	תְּקוּפַת	תְּקוּפָה	88
1	כיבוש	כיבוש	Masc	Sing	כִּיבּוּשׁ	כִּיבּוּשׁ	1
119	סוף	סוף	Masc	Sing	סוֹף	סוֹף	143
7	מאה	מאה	Fem	Sing	מֵאָה	מֵאָה	7
4	טענת	טענה	Fem	Sing	טַעֲנַת	טַעֲנָה	9
27	עובדה	עובדה	Fem	Sing	עוּבְדָּה	עוּבְדָּה	30
1	קציצות	קציצות	Fem	Plur	קְצִיצוֹת	קְצִיצוֹת	1
24	שלטון	שלטון	Masc	Sing	שִׁלְטוֹן	שִׁלְטוֹן	24
20	חיילים	חייל	Masc	Plur	חַיָּילִים	חַיָּיל	26
2	נסיבות	נסיבה	Fem	Plur	נְסִיבּוֹת	נְסִיבָה	2
1	בריטים	בריטי	Masc	Plur	בְּרִיטִים	בְּרִיטִי	1
27	שנות	שנה	Fem	Plur	שָׁנוֹת	שָׁנָה	504
3	אכילת	אכילה	Fem	Sing	אֲכִילַת	אֲכִילָה	5
29	סיבות	סיבה	Fem	Plur	סִּיבּוֹת	סִּיבָּה	121
19	הצלחה	הצלחה	Fem	Sing	הַצְּלָחָה	הַצְּלָחָה	25
2	המצאה	המצאה	Fem	Sing	הַמְּצָאָה	הַמְּצָאָה	3
3	איז	איז	Masc	Sing	אִיז	אִיז	3
1	מצאה	מצא	Fem	Sing	מָצְאָה	מָצָא	1
2	הפיטה	הפיטה	Fem	Sing	הַפִּיטָה	הַפִּיטָה	2
1	טבחי	טבח	Masc	Plur	טִבְחִי	טֶּבַח	3
59	אזור	אזור	Masc	Sing	אֵזוֹר	אֵזוֹר	80
5	כיס	כיס	Masc	Sing	כִּיס	כִּיס	5
10	ארוחה	ארוחה	Fem	Sing	אֲרוּחָה	אֲרוּחָה	35
32	תחילת	תחילה	Fem	Sing	תְּחִילַּת	תְּחִילָּה	35
6	פיטות	פטה	Fem	Plur	פִּיטוֹת	פָּטָה	6
3	תנורים	תנור	Masc	Plur	תַּנּוּרִים	תַּנּוּר	13
4	טמפרטורה	טמפרטורה	Fem	Sing	טֶמְפֵּרָטוּרָה	טֶמְפֵּרָטוּרָה	4
2	מצרי	מצרי	Masc	Sing	מִצְרִי	מִצְרִי	2
3	עליות	עלייה	Fem	Plur	עֲלִיּוֹת	עֲלִיָּיה	42
2	מפרס	מפרס	Masc	Sing	מִפְּרָס	מִפְּרָס	2
1	אנזים	אנזים	Masc	Sing	אֲנָזִים	אֲנָזִים	1
1	פול	פול	Masc	Sing	פָּוֹל	פָּוֹל	1
9	נזק	נזק	Masc	Sing	נֶזֶק	נֶזֶק	9
2	ריאותי	ריאה	Masc	Plur	רֵיאוֹתַי	רֵיאָה	2
20	משרד	משרד	Masc	Sing	מִשְׂרָד	מִשְׂרָד	26
9	בריאות	בריאות	Fem	Sing	בְּרִיאוּת	בְּרִיאוּת	9
28	תקשורת	תקשורת	Fem	Sing	תִּקְשׁוֹרֶת	תִּקְשׁוֹרֶת	28
1	אזרות	אזרה	Fem	Sing	אֲזָרוֹת	אָזְרָה	1
3	סכנות	סכנות	Fem	Plur	סַכָּנוֹת	סַכָּנוֹת	3
10	תוצאה	תוצאה	Fem	Sing	תּוֹצָאָה	תּוֹצָאָה	26
1	גרגירי	גרגיר	Masc	Plur	גַּרְגִּירִי	גַּרְגִּיר	1
31	אינטרנט	אינטרנט	Masc	Sing	אִינְטֶרְנֵט	אִינְטֶרְנֵט	31
23	מידע	מידע	Masc	Sing	מֵידָע	מֵידָע	23
1	מימן	מימן	Masc	Sing	מִימָּן	מִימָּן	1
2	דוכני	דוכן	Masc	Plur	דּוּכָנִי	דּוּכָן	14
60	סוג	סוג	Masc	Sing	סוּג	סוּג	83
1	מדגם	מדגם	Masc	Sing	מֻדְגָּם	מֻדְגָּם	1
3	דקת	דקה	Fem	Sing	דַּקַת	דַּקָּה	30
15	ערים	עיר	Fem	Plur	עָרִים	עִיר	92
34	בתי	בית	Masc	Plur	בָּתִּי	בַּיִת	319
35	עסק	עסק	Masc	Sing	עֵסֶק	עֵסֶק	49
10	מפה	מפה	Fem	Sing	מִפֹּה	מִפֹּה	12
16	תוצאות	תוצאה	Fem	Plur	תּוֹצָאוֹת	תּוֹצָאָה	26
